  PID TTY          TIME CMD
  225 ?        00:00:00 acpi_thermal_pm
  226 ?        00:00:00 scsi_eh_0
  227 ?        00:00:00 scsi_tmf_0
  228 ?        00:00:00 scsi_eh_1
  229 ?        00:00:00 scsi_tmf_1
  230 ?        00:00:00 scsi_eh_2
  231 ?        00:00:00 scsi_tmf_2
  232 ?        00:00:00 scsi_eh_3
  233 ?        00:00:00 scsi_tmf_3
  234 ?        00:00:00 scsi_eh_4
  235 ?        00:00:00 scsi_tmf_4
  236 ?        00:00:00 scsi_eh_5
  237 ?        00:00:00 scsi_tmf_5
  244 ?        00:00:00 kpsmoused
  246 ?        00:00:00 dm_bufio_cache
  247 ?        00:00:00 ipv6_addrconf
  248 ?        00:00:00 deferwq
  291 ?        00:00:02 kauditd
  450 ?        00:00:00 scsi_eh_6
  451 ?        00:00:00 scsi_tmf_6
  463 ?        00:00:00 bnx2x
  464 ?        00:00:00 bnx2x_iov
  506 ?        00:00:02 kworker/0:1H
  521 ?        00:00:07 jbd2/sda5-8
  522 ?        00:00:00 ext4-rsv-conver
  589 ?        00:00:01 kworker/21:1H
  607 ?        00:00:03 kworker/4:1H
  608 ?        00:00:02 kworker/2:1H
  609 ?        00:00:18 kworker/8:1H
  619 ?        00:00:51 systemd-journal
  620 ?        00:00:01 kworker/20:1H
  646 ?        00:00:00 lvmetad
  648 ?        00:00:14 kworker/7:1H
  654 ?        00:00:03 kworker/22:1H
  656 ?        00:00:01 kworker/19:1H
  665 ?        00:00:00 rpciod
  667 ?        00:00:51 kworker/9:1H
  671 ?        00:00:00 systemd-udevd
  690 ?        00:00:02 kworker/1:1H
  730 ?        00:00:04 kworker/18:1H
  774 ?        00:01:10 kworker/6:1H
  778 ?        00:00:00 edac-poller
  779 ?        00:00:07 kworker/23:1H
  780 ?        00:00:55 kworker/11:1H
  782 ?        00:00:00 kvm-irqfd-clean
  791 ?        00:00:03 kworker/3:1H
  845 ?        00:02:39 kworker/10:1H
  890 ?        00:00:00 jbd2/sda2-8
